Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/03/2021,31,LTC,699,7905584,823,574,4672120,603,Report,699,823,0,0,0
08/03/2021,31,TN,8418,5792107,13162,6054,3150175,9069,Report,8418,13162,2349,2680491,3713
08/03/2021,31,AZ,20183,7133606,12451,13630,3957569,8259,Report,20183,12451,6583,3305583,4240
08/03/2021,31,US,57925,348102478,449088,40169,192614017,312002,Admin,57925,449089,20355,165334987,154613
08/03/2021,31,CT,293,4606242,5906,238,2499790,3890,Report,293,5906,233,2261776,2388
08/03/2021,31,CO,7510,6497809,9793,4453,3500663,5695,Report,7510,9793,2736,3143513,4053
08/03/2021,31,GU,99,203414,204,31,108644,108,Admin,99,205,71,98926,120
08/03/2021,31,MI,5,9840190,7184,5,5209847,4690,Admin,5,7185,0,4797823,2799
08/03/2021,31,TX,18908,27701046,58421,13684,15560873,41841,Admin,18908,58421,5802,13157678,18577
08/03/2021,31,WV,362,1488957,416,262,827637,280,Admin,362,416,159,697834,183
08/03/2021,31,SD,2494,854287,1259,1788,467264,908,Report,2494,1259,804,416490,437
08/03/2021,31,TX,65045,27622945,72819,38480,15504734,50483,Report,65045,72819,28802,12786339,25327
08/03/2021,31,OK,293,3494346,6981,185,1954517,5180,Admin,293,6982,107,1626648,2008
08/03/2021,31,AZ,26,7146081,9033,21,3966245,6219,Admin,26,9034,5,3363186,3026
08/03/2021,31,MH,6,36520,38,4,20181,13,Admin,6,39,3,17484,27
08/03/2021,31,RI,1041,1334034,1774,631,720256,1084,Report,1041,1774,453,653324,860
08/03/2021,31,MP,422,61847,178,223,32685,97,Report,422,178,212,29721,86
08/03/2021,31,DC,479,904544,1089,309,500087,654,Report,479,1089,206,387859,466
08/03/2021,31,IA,5,3157898,2839,5,1694982,2034,Admin,5,2840,0,1575844,985
08/03/2021,31,RP,0,26674,118,0,15345,102,Report,0,118,0,13626,23
08/03/2021,31,FL,57803,22748539,65046,42180,12720076,47395,Report,57803,65046,16857,10551931,18504
08/03/2021,31,NJ,6376,10443839,14111,4107,5726878,9060,Admin,6376,14112,2692,5079450,5629
08/03/2021,31,PA,19,14662319,12045,2,8440605,8049,Admin,19,12046,17,6717178,4716
08/03/2021,31,ND,167,664977,889,121,364850,619,Report,167,889,60,306237,286
08/03/2021,31,PA,3049,14634689,26530,2055,8424037,15401,Report,3049,26530,1324,6731236,12269
08/03/2021,31,ID,964,1379069,1984,686,736126,1375,Report,964,1984,343,670148,752
08/03/2021,31,UT,11,3005621,4773,3,1685957,2976,Report,11,4773,40,1437090,1940
08/03/2021,31,FL,35,22806443,45151,34,12762530,34095,Admin,35,45151,1,10688988,12467
08/03/2021,31,AS,0,52559,125,0,29009,56,Admin,0,125,0,23926,68
